diagnosisId,recommendationsId
DIA_0856cf02-cd58-4c1e-a39f-e08081cb4343,REC_89ddd5fd-25a7-4e25-a01d-ed39cfdb87b3
DIA_0856cf02-cd58-4c1e-a39f-e08081cb4343,REC_64b3d467-4c46-459b-ba0f-1c5b03305b83
DIA_2ff13860-6ddf-4558-bdfd-2efb451914b8,REC_295e0b0f-069d-4ee7-8167-79b736193091
DIA_2ff13860-6ddf-4558-bdfd-2efb451914b8,REC_f194a3b1-cd0d-4681-b972-5a6835230911
DIA_2ff13860-6ddf-4558-bdfd-2efb451914b8,REC_493db80e-7eec-4d79-9488-76dbc3000e28
DIA_2ff13860-6ddf-4558-bdfd-2efb451914b8,REC_8a1382eb-e5b1-4e82-bebf-ce9424d1f7e2
DIA_c93b8085-9b98-419b-97df-dc2626d55221,REC_dc975b66-c3bf-4a47-a6ea-40223a5abc21
DIA_c93b8085-9b98-419b-97df-dc2626d55221,REC_640a6c24-dcd5-4b67-9aa9-85440ded54b3
DIA_c93b8085-9b98-419b-97df-dc2626d55221,REC_aebf3367-aac7-4f32-a33c-35fb59192d3f
DIA_c93b8085-9b98-419b-97df-dc2626d55221,REC_f0736d21-ae6d-48ac-bdb6-542b58d134e9
DIA_3b9db4b9-5173-4a72-8de4-402075c77e99,REC_987597de-0a05-45ef-8b47-86968621a433
DIA_3b9db4b9-5173-4a72-8de4-402075c77e99,REC_2f6c5135-d98e-41a7-87ac-42690fe0a0ed
DIA_3b9db4b9-5173-4a72-8de4-402075c77e99,REC_1b0c2e02-05da-4bcd-a26a-7870bc802c99
DIA_3b9db4b9-5173-4a72-8de4-402075c77e99,REC_0c9dda25-1608-4c78-ab18-e7fd8873f967
DIA_3b9db4b9-5173-4a72-8de4-402075c77e99,REC_3abda009-52df-4955-a462-ad5108f17a8d
DIA_3b9db4b9-5173-4a72-8de4-402075c77e99,REC_da1f7e22-50e4-4348-81c5-9226af9a8cf6
DIA_83985540-9cfd-4bbb-a391-f5ff9f839f29,REC_945884f0-d5af-4620-8a36-8bf7a54bb098
DIA_83985540-9cfd-4bbb-a391-f5ff9f839f29,REC_e768a2f6-288b-48df-8665-45afef4107af
DIA_41f056e4-9656-4a30-9e5c-42e13b73a60d,REC_90125859-82f7-4208-98d9-a1b9bcae8e02
DIA_41f056e4-9656-4a30-9e5c-42e13b73a60d,REC_3479a94d-dbd5-4435-ae6e-175ab8ae309c
DIA_bc0fb71c-8974-4c58-b295-0fc43683de2b,REC_3df63544-2cb2-4106-95ce-db28f9f8739d
DIA_c01bd1d0-6044-4899-84ae-d9cb264591d9,REC_e8251622-74e8-4138-9f02-412859d7dec2
DIA_c01bd1d0-6044-4899-84ae-d9cb264591d9,REC_893ae2d0-3489-44d0-876f-9694bd1aa2ef
DIA_c01bd1d0-6044-4899-84ae-d9cb264591d9,REC_03b3c822-03a5-4678-9fe7-92ee90cd79a3
DIA_c01bd1d0-6044-4899-84ae-d9cb264591d9,REC_c8675b08-b737-412a-85d8-0b399a691348
DIA_c01bd1d0-6044-4899-84ae-d9cb264591d9,REC_e3c0c075-9d75-47f0-88ed-545fb1911aaf
DIA_c01bd1d0-6044-4899-84ae-d9cb264591d9,REC_57f88ffd-583f-4631-9b9b-3100e7fb67ad
DIA_c01bd1d0-6044-4899-84ae-d9cb264591d9,REC_5dbf35d3-ec5d-4774-8650-55add4879d69
DIA_c01bd1d0-6044-4899-84ae-d9cb264591d9,REC_a732042b-c9ee-44e3-84fc-2788d9c98a25
DIA_c01bd1d0-6044-4899-84ae-d9cb264591d9,REC_e2a02ec6-6327-4e4e-9f6d-e5f869a9251a
DIA_c01bd1d0-6044-4899-84ae-d9cb264591d9,REC_56638ecc-e767-4154-b2ef-0d8d9a51cb68
DIA_c01bd1d0-6044-4899-84ae-d9cb264591d9,REC_a0d220be-3c6e-47d5-88da-301d83175d0f
DIA_c01bd1d0-6044-4899-84ae-d9cb264591d9,REC_dd3bd486-4867-4fd7-8054-972c80440cb1
DIA_c01bd1d0-6044-4899-84ae-d9cb264591d9,REC_e46bb031-27bb-484d-a1c0-7943f272a070
DIA_c01bd1d0-6044-4899-84ae-d9cb264591d9,REC_f9e558ef-d795-41a0-a8ed-c6bbef350fba
DIA_c01bd1d0-6044-4899-84ae-d9cb264591d9,REC_b9dbbd95-ab07-4ee4-b76d-ef64e74caef3
DIA_c01bd1d0-6044-4899-84ae-d9cb264591d9,REC_51c7929f-bcdc-49c3-8f27-f08a55a0e8d6
DIA_c01bd1d0-6044-4899-84ae-d9cb264591d9,REC_4a6f0de9-624d-4024-9dba-1773391614e0
DIA_3388f145-09b5-4ade-8032-34b65b78e03b,REC_8f1e9615-47a6-4fbb-9c37-1b96e3ca794f
DIA_4728bc5e-1d55-4e77-8beb-f331e69e0405,REC_abfd542c-a8f4-4e46-b00c-ba69da361acb
DIA_4728bc5e-1d55-4e77-8beb-f331e69e0405,REC_90125859-82f7-4208-98d9-a1b9bcae8e02
DIA_0acd4979-bc76-4f25-9d08-5315fc6bcceb,REC_5e9fc172-770b-4447-b532-94898fca4e31
DIA_d18fe7d1-c2ca-479f-8567-18e622f629e5,REC_23ace2fc-bacc-4b1b-85d7-a99876b804a1
DIA_d18fe7d1-c2ca-479f-8567-18e622f629e5,REC_aabf25c9-b715-4cbd-bffa-1f3662aa13ec
DIA_e03a4135-dfe4-4e9a-b12b-8d2a6bb6fa62,REC_a7d19caa-f452-4453-85c6-698df6a2df93
DIA_e03a4135-dfe4-4e9a-b12b-8d2a6bb6fa62,REC_0b7e8af7-6101-44e1-805d-204b97bc2942
DIA_e03a4135-dfe4-4e9a-b12b-8d2a6bb6fa62,REC_8cca825e-796c-4ced-9ef6-0b7cf7a29428
DIA_e03a4135-dfe4-4e9a-b12b-8d2a6bb6fa62,REC_d4eb18f4-0a4b-4587-b1c4-28bd1b2f07ba
DIA_e03a4135-dfe4-4e9a-b12b-8d2a6bb6fa62,REC_37e68f5f-0755-4e96-afe3-83d7a367a1f1
DIA_e03a4135-dfe4-4e9a-b12b-8d2a6bb6fa62,REC_6af15b98-dad0-4ba4-9683-547c71c6a2e6
DIA_e03a4135-dfe4-4e9a-b12b-8d2a6bb6fa62,REC_56aff749-b6c6-405d-874b-e106b36c4f03
DIA_e03a4135-dfe4-4e9a-b12b-8d2a6bb6fa62,REC_d5ced0e7-f0b1-4abb-b848-b2b975efce51
DIA_e03a4135-dfe4-4e9a-b12b-8d2a6bb6fa62,REC_057d462b-fab2-439e-b840-2eedd8de98a9
DIA_e03a4135-dfe4-4e9a-b12b-8d2a6bb6fa62,REC_4ee31add-a1a7-4a2e-b60d-0dab2e023fb1
DIA_e03a4135-dfe4-4e9a-b12b-8d2a6bb6fa62,REC_af389f0a-c63c-45a3-b8e0-b8c1dc583fef
DIA_e03a4135-dfe4-4e9a-b12b-8d2a6bb6fa62,REC_f9dfd202-01b5-48ca-9146-73d15816dd29
DIA_e03a4135-dfe4-4e9a-b12b-8d2a6bb6fa62,REC_507aab24-e0ce-4cf5-b9d5-79779edc8f88
DIA_e03a4135-dfe4-4e9a-b12b-8d2a6bb6fa62,REC_8445a6c9-6553-4037-975a-a6d68ae7c048
DIA_51ed2014-fef2-4d2f-be5e-460a581bd2e3,REC_d0544924-331b-4f40-a194-3aae65356c52
DIA_51ed2014-fef2-4d2f-be5e-460a581bd2e3,REC_d196e659-baf7-40b8-979b-b49811e195f8
DIA_51ed2014-fef2-4d2f-be5e-460a581bd2e3,REC_9ac1a889-399d-41cd-9d3e-112c14a36336
DIA_677a92ac-00aa-4167-8319-2361d93aca59,REC_dc975b66-c3bf-4a47-a6ea-40223a5abc21
DIA_677a92ac-00aa-4167-8319-2361d93aca59,REC_640a6c24-dcd5-4b67-9aa9-85440ded54b3
DIA_bfb3af41-cf6f-4236-aa75-210d385f903b,REC_d2a77e6a-148d-481c-85df-87641087b36f
DIA_bfb3af41-cf6f-4236-aa75-210d385f903b,REC_0ccea33b-b415-4253-bec6-6ab355aa1fa3
DIA_bfb3af41-cf6f-4236-aa75-210d385f903b,REC_1b0e2384-808d-49d5-8360-8204f95863dc
DIA_88028597-e282-46ed-8799-87e1d2a20baa,REC_42cbf732-747f-4ef8-81a0-9cb8509ebffc
DIA_133838fc-f202-4538-b88b-6e8eff46864b,REC_6344f4a8-da11-4009-b3ef-88637e3f7c7f
DIA_133838fc-f202-4538-b88b-6e8eff46864b,REC_9711167e-0cbd-44f6-af71-be42f2d92bb0
DIA_51ba82a2-536b-468b-ac5e-9964e57d3c7c,REC_c9763852-0c87-4907-b2e5-da117144a33c
DIA_51ba82a2-536b-468b-ac5e-9964e57d3c7c,REC_afaebf03-13d2-4e42-a4b7-6ce3247822b7
DIA_51ba82a2-536b-468b-ac5e-9964e57d3c7c,REC_c4306b20-ba6a-42de-b4a7-875327f2c7eb
DIA_51ba82a2-536b-468b-ac5e-9964e57d3c7c,REC_a9f6d756-5e25-42bf-b0a5-f4569318de75
DIA_51ba82a2-536b-468b-ac5e-9964e57d3c7c,REC_5746f84d-57ad-41cd-8d37-8874169d0ae4
DIA_51ba82a2-536b-468b-ac5e-9964e57d3c7c,REC_35a0ef4f-460d-45dc-a8bf-eef8ddd74d40
DIA_51ba82a2-536b-468b-ac5e-9964e57d3c7c,REC_268e6b6c-0af0-412a-ae92-9d955352af42
DIA_51ba82a2-536b-468b-ac5e-9964e57d3c7c,REC_d6681be7-762c-4915-b4fc-53f2d044237a
DIA_54abde23-6f53-40a3-9416-377146e50ee9,REC_8d43b6ec-b5e5-436f-828d-5199326c4ea6
DIA_54abde23-6f53-40a3-9416-377146e50ee9,REC_fd67c07e-474d-4e5c-aea8-fc84638b4357
DIA_54abde23-6f53-40a3-9416-377146e50ee9,REC_3a540f92-f5af-45f2-8273-6535c4aa3a6c
DIA_54abde23-6f53-40a3-9416-377146e50ee9,REC_415ec1e6-d86c-4a74-9596-c3ab102f125d
DIA_54abde23-6f53-40a3-9416-377146e50ee9,REC_8b1cda8f-cb4a-4e82-83c6-5268a5931a91
DIA_54abde23-6f53-40a3-9416-377146e50ee9,REC_f4e0c931-8143-42c7-b737-848cbb513d8e
DIA_54abde23-6f53-40a3-9416-377146e50ee9,REC_85c72ab3-3fb3-4d13-8ea9-579ca927465f
DIA_54abde23-6f53-40a3-9416-377146e50ee9,REC_85382dd6-f0f5-44a6-b76c-5382f0b6228e
DIA_54abde23-6f53-40a3-9416-377146e50ee9,REC_2d7218ee-81ee-4839-9955-3f6ffc2502d0
DIA_54abde23-6f53-40a3-9416-377146e50ee9,REC_14186724-1a2e-4601-a088-fe2aca760565
DIA_54abde23-6f53-40a3-9416-377146e50ee9,REC_70f75ebe-260e-45b0-b9e8-cdac47be7c0c
DIA_54abde23-6f53-40a3-9416-377146e50ee9,REC_ee6107a3-a2a7-4fbf-a5f3-3551714bcc89
DIA_54abde23-6f53-40a3-9416-377146e50ee9,REC_7ccba32b-d175-4455-9400-d6e622b2e1c8
DIA_54abde23-6f53-40a3-9416-377146e50ee9,REC_dd2df8da-9092-474c-bb05-59bf265f411c
DIA_34d58ccb-3ccc-41a4-90b9-e89182a851eb,REC_b873db7b-6b94-43b3-8e49-d0678790f13b
DIA_869e2a09-dd14-4636-bcd9-80520f6a2484,REC_957c2403-53ae-42c3-8e8c-8d93d462f9ba
DIA_4fe62c36-77ea-43a2-b6d0-21642dfccf3d,REC_d9963757-800f-4bb3-8fcc-c2c0a6bfa6f7
DIA_5f2e758d-28f6-4a24-a57f-a5812186d229,REC_8a9f2388-c560-4a9b-b8c1-e2b1f019f521
DIA_5f2e758d-28f6-4a24-a57f-a5812186d229,REC_79d69a10-0464-4573-8ca3-b9a7c94fc1e1
DIA_293f1c11-a235-4e55-9384-bf213f2264e7,REC_a28b987f-1c4d-4e23-ab48-cc3abb0e2500
DIA_293f1c11-a235-4e55-9384-bf213f2264e7,REC_707a1ed1-57ba-49bb-9863-d013431a12d4
DIA_293f1c11-a235-4e55-9384-bf213f2264e7,REC_496fb780-9bd0-431c-baa4-28d028f2b572
DIA_293f1c11-a235-4e55-9384-bf213f2264e7,REC_d4bac914-cba7-4998-a94f-d96c2aea196f
DIA_75e92552-7d29-41be-897a-9241b202af08,REC_f40718f2-b9df-4dc6-b9a3-3214fee243b4
DIA_1fcb23e7-ede3-4d62-8b8f-b9737d93e751,REC_d9963757-800f-4bb3-8fcc-c2c0a6bfa6f7
DIA_1fcb23e7-ede3-4d62-8b8f-b9737d93e751,REC_3cf8de4d-04a6-4705-bd32-b6ad1ac87878
DIA_1fcb23e7-ede3-4d62-8b8f-b9737d93e751,REC_b1af7792-0dd0-42e4-8343-77def835b17a
DIA_1fcb23e7-ede3-4d62-8b8f-b9737d93e751,REC_d975de39-0bb1-43ca-9ee7-67f332082169
DIA_1fcb23e7-ede3-4d62-8b8f-b9737d93e751,REC_4c3e16e4-074a-4590-9193-e54e29821130
DIA_1fcb23e7-ede3-4d62-8b8f-b9737d93e751,REC_27e4e1d8-e5b9-400f-9806-3f58c46441f9
DIA_1fcb23e7-ede3-4d62-8b8f-b9737d93e751,REC_aee2207f-2c4c-4595-8b16-1e95042f702d
DIA_1fcb23e7-ede3-4d62-8b8f-b9737d93e751,REC_24afae65-4179-40d9-b29f-21467830e837
DIA_0bebfdc7-fc17-4635-984b-c81df58a284f,REC_99c3c12f-d7d2-464b-8bcd-01ec33dae3c7
DIA_4f6b9b0d-80f9-483f-9233-db4c5d4e10fa,REC_c2058fdf-9143-408e-823e-e9f04d871305
DIA_e8773218-e642-4628-bbde-c472035c09e5,REC_a7d19caa-f452-4453-85c6-698df6a2df93
DIA_e8773218-e642-4628-bbde-c472035c09e5,REC_0b7e8af7-6101-44e1-805d-204b97bc2942
DIA_e8773218-e642-4628-bbde-c472035c09e5,REC_8cca825e-796c-4ced-9ef6-0b7cf7a29428
DIA_e8773218-e642-4628-bbde-c472035c09e5,REC_d4eb18f4-0a4b-4587-b1c4-28bd1b2f07ba
DIA_e8773218-e642-4628-bbde-c472035c09e5,REC_37e68f5f-0755-4e96-afe3-83d7a367a1f1
DIA_e8773218-e642-4628-bbde-c472035c09e5,REC_6af15b98-dad0-4ba4-9683-547c71c6a2e6
DIA_e8773218-e642-4628-bbde-c472035c09e5,REC_56aff749-b6c6-405d-874b-e106b36c4f03
DIA_1ac5953d-5122-44b9-9db1-2d583ba4fce1,REC_a7d19caa-f452-4453-85c6-698df6a2df93
DIA_1ac5953d-5122-44b9-9db1-2d583ba4fce1,REC_0b7e8af7-6101-44e1-805d-204b97bc2942
DIA_1ac5953d-5122-44b9-9db1-2d583ba4fce1,REC_8cca825e-796c-4ced-9ef6-0b7cf7a29428
DIA_1ac5953d-5122-44b9-9db1-2d583ba4fce1,REC_d4eb18f4-0a4b-4587-b1c4-28bd1b2f07ba
DIA_1ac5953d-5122-44b9-9db1-2d583ba4fce1,REC_37e68f5f-0755-4e96-afe3-83d7a367a1f1
DIA_d7bb9498-5dc3-42f4-a285-9c51a004c857,REC_a7d19caa-f452-4453-85c6-698df6a2df93
DIA_d7bb9498-5dc3-42f4-a285-9c51a004c857,REC_0b7e8af7-6101-44e1-805d-204b97bc2942
DIA_d7bb9498-5dc3-42f4-a285-9c51a004c857,REC_8cca825e-796c-4ced-9ef6-0b7cf7a29428
DIA_d7bb9498-5dc3-42f4-a285-9c51a004c857,REC_d4eb18f4-0a4b-4587-b1c4-28bd1b2f07ba
DIA_d7bb9498-5dc3-42f4-a285-9c51a004c857,REC_37e68f5f-0755-4e96-afe3-83d7a367a1f1
DIA_ee3a3dc9-f840-4b3e-967d-f800b2ef9e91,REC_a7d19caa-f452-4453-85c6-698df6a2df93
DIA_ee3a3dc9-f840-4b3e-967d-f800b2ef9e91,REC_0b7e8af7-6101-44e1-805d-204b97bc2942
DIA_ee3a3dc9-f840-4b3e-967d-f800b2ef9e91,REC_8cca825e-796c-4ced-9ef6-0b7cf7a29428
DIA_ee3a3dc9-f840-4b3e-967d-f800b2ef9e91,REC_d4eb18f4-0a4b-4587-b1c4-28bd1b2f07ba
DIA_ee3a3dc9-f840-4b3e-967d-f800b2ef9e91,REC_37e68f5f-0755-4e96-afe3-83d7a367a1f1
DIA_a41426be-b6d3-497d-8335-fcf88e497e36,REC_a7d19caa-f452-4453-85c6-698df6a2df93
DIA_a41426be-b6d3-497d-8335-fcf88e497e36,REC_0b7e8af7-6101-44e1-805d-204b97bc2942
DIA_a41426be-b6d3-497d-8335-fcf88e497e36,REC_8cca825e-796c-4ced-9ef6-0b7cf7a29428
DIA_a41426be-b6d3-497d-8335-fcf88e497e36,REC_d4eb18f4-0a4b-4587-b1c4-28bd1b2f07ba
DIA_a41426be-b6d3-497d-8335-fcf88e497e36,REC_37e68f5f-0755-4e96-afe3-83d7a367a1f1
DIA_e4049fd0-c76a-43a0-b8db-ca709f320905,REC_a7d19caa-f452-4453-85c6-698df6a2df93
DIA_e4049fd0-c76a-43a0-b8db-ca709f320905,REC_0b7e8af7-6101-44e1-805d-204b97bc2942
DIA_e4049fd0-c76a-43a0-b8db-ca709f320905,REC_8cca825e-796c-4ced-9ef6-0b7cf7a29428
DIA_e4049fd0-c76a-43a0-b8db-ca709f320905,REC_d4eb18f4-0a4b-4587-b1c4-28bd1b2f07ba
DIA_e4049fd0-c76a-43a0-b8db-ca709f320905,REC_37e68f5f-0755-4e96-afe3-83d7a367a1f1
DIA_a30d3a8e-c4ac-4e61-bc34-025ce7168c42,REC_df4d6441-1a26-421d-b628-4fe851273045
DIA_a30d3a8e-c4ac-4e61-bc34-025ce7168c42,REC_6aee5ef5-d59f-4af3-8537-a9000eff2f38
DIA_a30d3a8e-c4ac-4e61-bc34-025ce7168c42,REC_a15a8c69-b828-47b8-8967-d3c8d0d0abb4
DIA_a30d3a8e-c4ac-4e61-bc34-025ce7168c42,REC_b0e2a59c-7a54-478a-82bb-fd02f262c5ed
DIA_a30d3a8e-c4ac-4e61-bc34-025ce7168c42,REC_320fd227-87e8-432a-bfc2-5901ea026e20
DIA_a30d3a8e-c4ac-4e61-bc34-025ce7168c42,REC_8b60efd8-0456-4d4f-8bda-52394a2e1b8f
DIA_a30d3a8e-c4ac-4e61-bc34-025ce7168c42,REC_09272325-3a5e-4ede-b508-39d157560075
DIA_a30d3a8e-c4ac-4e61-bc34-025ce7168c42,REC_7c0615ff-7f01-4f11-a1a2-7af4a47eabdb
DIA_a30d3a8e-c4ac-4e61-bc34-025ce7168c42,REC_84a67498-5b2c-4ce5-8249-b90ae7a5b3b3
DIA_a30d3a8e-c4ac-4e61-bc34-025ce7168c42,REC_e37d0ab7-eada-4505-bc37-9c9ca6e63714
DIA_a30d3a8e-c4ac-4e61-bc34-025ce7168c42,REC_9f35ab3c-638f-47b5-8f38-a127a9edf570
DIA_0436a3e0-26a5-47e2-b21c-eba5fa2c2e3c,REC_a7d19caa-f452-4453-85c6-698df6a2df93
DIA_0436a3e0-26a5-47e2-b21c-eba5fa2c2e3c,REC_0b7e8af7-6101-44e1-805d-204b97bc2942
DIA_fc446540-7bd5-4aa4-9ded-b30b4aeb77c3,REC_dfc36aa0-a08c-44e4-b2c6-da3e603ac78c
DIA_fc446540-7bd5-4aa4-9ded-b30b4aeb77c3,REC_a5882747-b61a-4d3f-9671-722e0cc4fc88
